Behavior X	Behavior Y
59.64	50.12
81.22	53.04
76.98	57.05
54.61	13.93
62.70	35.36
70.00	6.09
86.79	51.31
52.53	5.01
64.24	20.95
66.33	43.49
92.70	16.80
106.72	71.75
100.69	8.83
91.41	19.41
80.88	22.17
76.25	8.79
48.00	12.89
67.47	44.78
74.62	1.45
79.11	49.97
56.85	49.64
63.04	54.18
85.05	69.05
53.61	45.08
61.04	34.20
79.88	77.47
102.63	66.83
56.06	17.57
86.26	42.20
60.64	0.79
69.36	50.72
64.16	36.79
97.66	29.85
90.45	51.98
37.11	29.32
68.50	61.17
84.96	15.20
46.99	31.38
71.28	3.58
67.34	2.74
83.89	53.69
59.32	59.27
76.44	62.16
65.61	46.77
49.55	9.17
68.08	20.93
66.76	65.90
69.75	28.78
69.58	45.92
46.41	2.83
94.70	6.12
98.84	12.75
72.72	26.96
61.73	44.39
78.85	40.71
67.79	36.71
76.17	33.52
43.36	4.37
105.36	79.50
80.89	20.13
87.89	13.55
103.78	68.90
37.84	6.01
61.62	24.37
78.17	21.89
84.50	66.02
65.04	11.99
80.37	61.31
52.92	15.26
71.59	25.95
69.57	45.99
92.23	25.43
65.40	39.85
58.78	21.39
58.93	14.76
80.02	75.53
61.58	1.12
103.86	10.44
85.34	85.03
80.77	52.48
72.28	46.35
80.68	69.17
99.19	84.50
34.72	25.06
98.27	58.92
68.19	9.28
75.05	53.03
90.92	60.17
85.48	55.12
45.94	5.42
47.93	24.57
85.33	21.69
58.61	46.61
45.64	1.35
68.54	13.51
67.84	52.29
54.10	13.62
55.02	20.16
80.23	12.61
40.62	31.45
98.67	17.18
86.98	57.80
70.05	55.00
74.59	12.57
58.66	10.72
56.21	6.91
81.72	15.33
91.23	41.90
98.01	53.47
72.69	56.58
86.03	64.07
110.22	35.38
115.79	102.35
68.27	53.83
115.28	21.37
72.13	31.78
62.34	25.36
85.14	58.07
74.10	10.78
95.95	58.78
86.86	22.41
47.10	39.44
20.48	6.23
84.73	73.99
56.84	2.88
91.35	74.67
103.48	93.26
57.38	39.31
93.14	66.25
77.85	5.68
64.44	29.52
103.33	90.98
65.70	30.21
97.10	20.65
103.51	90.92
37.40	34.97
128.09	60.28
99.41	80.60
93.90	24.87
61.19	46.01
70.36	24.89
50.31	40.94
52.18	42.23
58.89	4.68
85.60	75.02
108.17	91.28
99.26	71.68
66.16	2.91
35.80	3.31
79.27	33.25
61.76	37.53
42.97	31.22
83.07	41.28
85.46	56.15
90.42	31.92
70.21	12.70
67.49	43.31
71.30	22.07
71.86	21.64
78.92	55.39
105.32	39.55
77.15	63.71
86.71	51.51
112.44	34.79
68.89	45.72
88.14	0.96
80.29	67.82
59.72	39.90
29.39	13.24
32.18	3.07
68.77	17.80
64.00	55.19
67.65	17.81
49.52	5.61
79.09	61.92
78.74	32.74
62.05	51.36
88.64	24.61
45.42	16.28
55.98	25.62
70.47	39.04
51.63	19.49
97.20	18.39
101.90	87.70
79.25	8.15
49.72	44.08
86.86	17.31
28.98	9.82
65.37	28.17
132.65	37.05
82.91	47.84
54.30	6.86
90.96	54.05
69.90	37.83
93.64	77.88
68.43	3.59
99.16	50.10
93.16	73.55
78.85	49.35
69.61	30.19
79.61	27.35
71.57	39.35
73.58	11.95
87.60	19.58
60.66	27.48
60.58	50.62
74.86	29.11
61.92	41.39
48.16	22.40
90.67	65.05
70.22	50.95
46.80	37.99
67.90	54.30
72.41	21.37
32.98	20.54
50.56	22.48
42.32	34.38
94.95	12.64
72.44	72.02
95.03	15.69
85.07	82.06
83.61	41.16
62.77	42.91
80.13	20.23
51.01	16.07
61.97	40.33
63.06	39.34
78.57	33.74
42.69	25.42
50.02	7.81
78.56	68.57
101.45	26.65
81.60	26.04
67.03	65.31
74.13	29.18
76.40	18.86
110.24	60.17
73.69	45.37
91.90	42.02
73.57	25.75
60.58	8.80
80.57	64.27
93.93	70.03
45.04	37.88
55.37	51.98
71.55	5.20
83.34	21.60
58.37	42.84
63.31	60.53
86.21	8.50
50.97	8.84
93.86	36.55
90.54	44.84
63.44	3.59
86.88	2.16
98.29	96.99
80.66	32.64
90.47	58.83
77.32	65.35
75.30	34.66
73.69	62.26
57.10	8.65
61.55	29.57
74.45	15.26
92.79	32.02
64.22	52.66
101.58	50.55
60.35	31.47
86.61	51.44
51.42	22.21
59.39	11.74
66.46	9.56
79.00	52.81
108.68	103.52
76.98	38.57
67.60	23.96
84.20	65.85
53.42	3.02
73.27	8.36
83.03	38.55
69.68	58.09
71.98	29.12
78.23	61.50
82.58	80.70
105.20	62.22
110.95	84.51
87.55	29.44
50.41	22.67
81.54	61.96
64.79	8.96
56.21	18.02
87.55	27.29
83.71	73.85
71.51	64.06
68.19	40.20
59.05	4.07
41.88	7.79
45.69	38.68
53.87	12.15
67.52	34.33
78.15	40.11
79.13	68.25
52.66	20.05
87.60	8.67
82.68	6.20
101.19	91.85
65.82	47.06
74.88	31.66
65.54	60.79
87.92	87.21
94.59	54.13
84.01	1.91
124.89	110.02
72.11	16.08
82.73	72.27
39.60	28.08
65.17	56.21
41.01	3.38
73.06	16.87
51.31	25.40
62.89	21.71
58.76	16.36
72.21	64.73
92.05	74.13
102.91	96.73
82.72	34.60
64.91	43.72
78.23	11.85
61.11	55.63
58.02	36.32
49.66	40.49
40.69	25.61
73.83	56.13
87.10	54.72
78.71	19.12
74.85	4.90
75.36	73.63
64.95	53.65
108.95	6.02
71.04	45.83
49.54	35.71
69.55	34.99
64.75	22.30
72.81	17.72
67.98	48.71
59.80	27.57
43.72	36.50
66.91	22.51
47.14	43.71
73.28	36.21
91.34	60.27
117.65	104.69
84.36	34.31
82.39	78.47
93.95	79.78
82.72	21.82
98.31	9.72
71.65	25.22
77.35	19.05
63.16	4.90
61.33	56.03
64.29	40.86
89.62	88.96
76.25	56.82
41.99	1.71
107.89	102.13
86.77	39.29
47.19	28.02
68.25	0.79
78.74	11.68
61.22	56.61
73.09	52.90
81.10	13.97
93.60	1.16
49.71	28.96
56.45	23.46
63.42	1.36
78.07	48.81
99.21	38.05
109.85	45.91
88.34	59.92
89.62	83.78
72.43	10.36
73.20	53.74
60.60	29.57
83.88	39.03
97.28	25.89
98.33	35.99
69.99	3.04
78.91	76.52
86.35	3.06
65.13	39.27
79.13	18.73
81.40	66.58
84.38	69.80
63.91	9.99
99.22	26.06
92.55	4.46
32.20	19.39
55.34	26.62
69.14	56.89
38.78	36.06
103.22	22.52
79.20	62.50
86.64	56.40
54.67	28.15
78.55	33.97
105.54	33.55
88.07	28.77
89.27	49.35
85.86	50.29
73.95	35.28
55.04	44.21
113.60	91.80
50.65	39.50
83.23	32.52
82.04	81.91
112.31	12.15
69.18	49.28
101.43	96.31
65.96	7.88
78.77	25.03
88.59	55.83
57.93	30.69
86.04	20.66
106.69	100.99
76.60	31.58
121.72	31.11
62.84	37.96
125.16	78.30
74.70	26.46
79.89	47.70
58.55	15.22
39.88	26.95
69.29	60.12
85.59	48.18
89.92	42.19
44.85	10.35
40.40	10.80
67.14	53.27
75.81	27.19
118.50	59.44
69.42	26.72
78.38	5.70
92.06	72.00
65.54	52.18
54.92	13.30
46.34	3.43
96.15	6.49
83.73	24.30
104.62	61.92
66.82	22.26
93.16	0.81
111.89	48.86
85.84	58.24
75.32	69.12
46.01	32.93
97.30	8.67
87.31	52.31
60.95	5.90
84.56	45.36
113.42	13.65
81.38	19.71
79.17	16.18
98.18	84.20
74.76	35.51
51.00	13.27
64.99	47.89
88.60	28.14
58.59	20.67
99.69	55.23
79.42	7.90
77.14	74.10
81.92	20.55
73.74	45.73
64.59	50.28
83.45	10.24
98.39	12.03
104.43	1.64
62.35	24.25
89.53	4.89
56.51	27.75
98.30	23.54
75.27	31.17
78.94	34.47
105.84	69.57
37.58	12.79
77.03	58.78
55.44	0.82
46.95	24.59
86.47	30.93
67.72	51.81
67.74	62.09
76.51	42.04
67.16	55.09
64.87	55.01
90.81	4.52
60.34	49.89
70.35	13.67
83.88	83.11
