"attempted"	"heroin"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Former User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Former User"
"No"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Former User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"Yes"	"Active User"
"No"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Former User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Active User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"No"	"Active User"
"No"	"Former User"
"No"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Former User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Former User"
"Yes"	"Active User"
"Yes"	"Former User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"No"	"Non User"
"Yes"	"Former User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"No"	"Non User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Former User"
"Yes"	"Former User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Former User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Former User"
"Yes"	"Active User"
"Yes"	"Active User"
"No"	"Former User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Former User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Active User"
"No"	"Former User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Active User"
"No"	"Former User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Former User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Former User"
"Yes"	"Active User"
"Yes"	"Former User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Former User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"No"	"Active User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Former User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Former User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Active User"
"No"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"Yes"	"Former User"
"No"	"Former User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Active User"
"Yes"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"Yes"	"Former User"
"No"	"Former User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Active User"
"No"	"Active User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Former User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Former User"
"No"	"Former User"
"No"	"Active User"
"No"	"Former User"
"Yes"	"Former User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Former User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Former User"
"No"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Former User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Former User"
"No"	"Former User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"Yes"	"Former User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Former User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Former User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"Yes"	"Former User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Former User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Active User"
"No"	"Former User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"No"	"Active User"
"Yes"	"Active User"
"No"	"Former User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Former User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Former User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"No"	"Active User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Former User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Former User"
"Yes"	"Active User"
"Yes"	"Former User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Non User"
"No"	"Active User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Former User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Former User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"Yes"	"Former User"
"Yes"	"Non User"
"Yes"	"Former User"
"No"	"Active User"
"Yes"	"Non User"
"Yes"	"Active User"
"Yes"	"Former User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"No"	"Active User"
"No"	"Active User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Non User"
"Yes"	"Non User"
"Yes"	"Active User"
"No"	"Non User"
"Yes"	"Former User"
"Yes"	"Non User"
"Yes"	"Non User"
"No"	"Non User"
"No"	"Active User"
"No"	"Non User"
