"Height"	"Income"
"Tall"	53237
"Tall"	52253
"Tall"	58106
"Tall"	50315
"Tall"	68016
"Tall"	46071
"Tall"	39362
"Tall"	45959
"Tall"	44430
"Tall"	50750
"Tall"	59153
"Tall"	54351
"Tall"	49599
"Tall"	62527
"Tall"	49697
"Tall"	52527
"Tall"	45642
"Tall"	56389
"Tall"	44919
"Tall"	55806
"Tall"	52739
"Tall"	39093
"Tall"	52078
"Tall"	48605
"Tall"	50513
"Tall"	43439
"Tall"	51856
"Tall"	51599
"Tall"	45530
"Tall"	57054
"Tall"	64341
"Tall"	60627
"Tall"	66522
"Tall"	51496
"Tall"	55747
"Tall"	43578
"Tall"	58984
"Tall"	50349
"Tall"	50379
"Tall"	37868
"Tall"	45996
"Tall"	46019
"Tall"	45571
"Tall"	53006
"Tall"	50910
"Tall"	66954
"Tall"	57202
"Tall"	45217
"Tall"	56951
"Tall"	37326
"Tall"	47734
"Tall"	54327
"Tall"	40355
"Tall"	54184
"Tall"	49290
"Tall"	51742
"Tall"	52469
"Tall"	45992
"Tall"	58723
"Tall"	38956
"Tall"	58405
"Tall"	64703
"Tall"	39595
"Tall"	54010
"Tall"	52410
"Tall"	59221
"Tall"	51989
"Tall"	57805
"Tall"	50711
"Tall"	55930
"Tall"	60171
"Tall"	46943
"Tall"	60626
"Tall"	47144
"Tall"	52578
"Tall"	59792
"Tall"	56257
"Tall"	29412
"Tall"	54296
"Tall"	51356
"Tall"	56173
"Tall"	56909
"Tall"	56345
"Tall"	57295
"Tall"	54056
"Tall"	52213
"Tall"	38751
"Tall"	53970
"Tall"	52768
"Tall"	51859
"Tall"	66354
"Tall"	46951
"Tall"	52749
"Tall"	51000
"Tall"	54728
"Tall"	47019
"Tall"	53188
"Tall"	52970
"Tall"	66210
"Tall"	49919
"Tall"	54105
"Tall"	56693
"Tall"	50491
"Tall"	53278
"Tall"	57499
"Tall"	65858
"Tall"	45703
"Tall"	48239
"Tall"	40901
"Tall"	52290
"Tall"	49076
"Tall"	53434
"Tall"	57328
"Tall"	52487
"Tall"	59011
"Tall"	55327
"Tall"	53490
"Tall"	67405
"Tall"	51989
"Tall"	53652
"Tall"	53283
"Tall"	53482
"Tall"	45374
"Tall"	42474
"Tall"	53590
"Tall"	65542
"Tall"	41304
"Tall"	45695
"Tall"	55719
"Tall"	50936
"Tall"	59023
"Tall"	60082
"Tall"	52294
"Tall"	61102
"Tall"	40363
"Tall"	51129
"Tall"	45577
"Tall"	43179
"Tall"	72898
"Tall"	56071
"Tall"	50987
"Tall"	53410
"Tall"	51907
"Tall"	69851
"Tall"	58263
"Tall"	60970
"Tall"	56109
"Tall"	49504
"Tall"	47693
"Tall"	43860
"Tall"	61147
"Tall"	70372
"Tall"	47185
"Tall"	55946
"Tall"	73852
"Tall"	71396
"Tall"	64437
"Tall"	44173
"Tall"	58641
"Tall"	57228
"Tall"	47456
"Tall"	58906
"Tall"	58539
"Tall"	52888
"Tall"	49483
"Tall"	70102
"Tall"	33266
"Tall"	60281
"Tall"	70315
"Tall"	40430
"Tall"	57256
"Tall"	43200
"Tall"	45171
"Tall"	53228
"Tall"	51665
"Tall"	59613
"Tall"	62365
"Tall"	52044
"Tall"	49671
"Tall"	54863
"Tall"	48532
"Tall"	50644
"Tall"	45299
"Tall"	47560
"Tall"	69769
"Tall"	66441
"Tall"	62041
"Tall"	61346
"Tall"	57835
"Tall"	43422
"Tall"	57953
"Tall"	48432
"Tall"	49583
"Tall"	55562
"Tall"	56967
"Tall"	58475
"Tall"	63856
"Tall"	55883
"Tall"	53458
"Tall"	54261
"Tall"	40471
"Tall"	49778
"Tall"	52260
"Tall"	59990
"Tall"	58949
"Tall"	56228
"Tall"	49574
"Tall"	52864
"Tall"	60597
"Tall"	55211
"Tall"	69936
"Tall"	64469
"Tall"	50556
"Tall"	46978
"Tall"	54873
"Tall"	57972
"Tall"	72372
"Tall"	63116
"Tall"	58362
"Tall"	42934
"Tall"	54899
"Tall"	59089
"Tall"	45448
"Tall"	64285
"Tall"	50580
"Tall"	59385
"Tall"	66085
"Tall"	62574
"Tall"	49109
"Tall"	46057
"Tall"	56856
"Tall"	50389
"Tall"	62264
"Tall"	66003
"Tall"	53492
"Tall"	60050
"Tall"	46015
"Tall"	40759
"Tall"	58365
"Tall"	54127
"Tall"	61006
"Tall"	53302
"Tall"	58074
"Tall"	50029
"Tall"	38481
"Tall"	62263
"Tall"	54462
"Tall"	68883
"Tall"	50389
"Tall"	58369
"Tall"	42936
"Tall"	50379
"Tall"	59039
"Tall"	61871
"Tall"	49930
"Tall"	41111
"Tall"	46008
"Tall"	48235
"Tall"	70042
"Tall"	49018
"Tall"	66822
"Tall"	57018
"Tall"	51352
"Tall"	67265
"Tall"	62748
"Tall"	57687
"Tall"	56656
"Tall"	61172
"Tall"	60626
"Tall"	56512
"Tall"	61123
"Tall"	49901
"Tall"	40287
"Tall"	59400
"Tall"	46400
"Tall"	52073
"Tall"	61638
"Tall"	38508
"Tall"	51422
"Tall"	62282
"Tall"	53266
"Tall"	56949
"Tall"	60073
"Tall"	51983
"Tall"	69788
"Tall"	55525
"Tall"	45011
"Tall"	48317
"Tall"	69156
"Tall"	62279
"Tall"	50068
"Tall"	70516
"Tall"	55625
"Tall"	42985
"Tall"	47484
"Tall"	58924
"Tall"	52611
"Tall"	50768
"Tall"	51190
"Tall"	55915
"Tall"	59163
"Tall"	61495
"Tall"	52005
"Tall"	43221
"Tall"	50778
"Tall"	55975
"Tall"	39408
"Tall"	53049
"Tall"	41201
"Tall"	52658
"Tall"	59983
"Tall"	67456
"Tall"	70438
"Tall"	49740
"Tall"	64675
"Tall"	60769
"Tall"	55896
"Tall"	69517
"Tall"	53694
"Tall"	45699
"Tall"	53977
"Tall"	49027
"Tall"	65453
"Tall"	58072
"Tall"	60284
"Tall"	52897
"Tall"	44979
"Tall"	60186
"Tall"	55844
"Tall"	52174
"Tall"	52088
"Tall"	61448
"Tall"	56473
"Tall"	52420
"Tall"	62025
"Tall"	41380
"Tall"	56740
"Tall"	51516
"Tall"	52742
"Tall"	42607
"Tall"	59008
"Tall"	44954
"Tall"	52311
"Tall"	50966
"Tall"	46581
"Tall"	49396
"Tall"	51565
"Tall"	58964
"Tall"	64374
"Tall"	54145
"Tall"	41974
"Tall"	43492
"Tall"	52607
"Tall"	50893
"Tall"	55513
"Tall"	52970
"Tall"	66131
"Tall"	59170
"Tall"	57931
"Tall"	56275
"Tall"	53112
"Tall"	47699
"Tall"	50186
"Tall"	62770
"Tall"	57316
"Tall"	53155
"Tall"	67368
"Tall"	42981
"Tall"	48946
"Tall"	61197
"Tall"	53123
"Tall"	74499
"Tall"	53820
"Tall"	51967
"Tall"	58182
"Tall"	61325
"Tall"	53103
"Tall"	46825
"Tall"	40051
"Tall"	51110
"Tall"	62699
"Tall"	39730
"Tall"	56894
"Tall"	52824
"Tall"	60223
"Tall"	39079
"Tall"	52785
"Tall"	52601
"Tall"	51963
"Tall"	45883
"Tall"	57459
"Tall"	45481
"Tall"	72337
"Tall"	51131
"Tall"	62969
"Tall"	49724
"Tall"	45604
"Tall"	43699
"Tall"	53458
"Tall"	43578
"Tall"	40656
"Tall"	56969
"Tall"	50571
"Tall"	64213
"Tall"	67407
"Tall"	49690
"Tall"	53762
"Tall"	52667
"Tall"	48913
"Tall"	54163
"Tall"	55840
"Tall"	42041
"Tall"	47552
"Tall"	44256
"Tall"	53933
"Tall"	56705
"Tall"	53660
"Tall"	72440
"Tall"	46021
"Tall"	56737
"Tall"	44022
"Tall"	61761
"Tall"	47189
"Tall"	55503
"Tall"	55060
"Tall"	59769
"Tall"	57340
"Tall"	58809
"Tall"	50830
"Tall"	53658
"Tall"	60968
"Tall"	65078
"Tall"	55348
"Tall"	45620
"Tall"	57106
"Tall"	48887
"Tall"	38197
"Tall"	69802
"Tall"	64822
"Tall"	62599
