Subject	Grade	Lecture	Presentation	Score
1	5	1	1	29
2	5	1	1	31
3	5	1	1	22
4	5	1	1	24
5	5	1	1	33
6	5	1	1	16
7	5	1	2	31
8	5	1	2	35
9	5	1	2	22
10	5	1	2	16
11	5	1	2	19
12	5	1	2	14
13	5	2	1	29
14	5	2	1	22
15	5	2	1	19
16	5	2	1	19
17	5	2	1	25
18	5	2	1	16
19	5	2	2	21
20	5	2	2	19
21	5	2	2	16
22	5	2	2	18
23	5	2	2	19
24	5	2	2	15
25	5	3	1	24
26	5	3	1	23
27	5	3	1	21
28	5	3	1	20
29	5	3	1	14
30	5	3	1	21
31	5	3	2	26
32	5	3	2	21
33	5	3	2	16
34	5	3	2	21
35	5	3	2	17
36	5	3	2	7
37	8	1	1	52
38	8	1	1	50
39	8	1	1	46
40	8	1	1	43
41	8	1	1	51
42	8	1	1	33
43	8	1	2	44
44	8	1	2	49
45	8	1	2	34
46	8	1	2	19
47	8	1	2	32
48	8	1	2	27
49	8	2	1	46
50	8	2	1	43
51	8	2	1	39
52	8	2	1	37
53	8	2	1	43
54	8	2	1	34
55	8	2	2	12
56	8	2	2	17
57	8	2	2	16
58	8	2	2	10
59	8	2	2	12
60	8	2	2	7
61	8	3	1	44
62	8	3	1	42
63	8	3	1	39
64	8	3	1	35
65	8	3	1	35
66	8	3	1	33
67	8	3	2	44
68	8	3	2	42
69	8	3	2	27
70	8	3	2	22
71	8	3	2	31
72	8	3	2	21
